,As_of_date,city,date,high_c,high_f,low_c,low_f,rain_in,rain_mm
0,2014-09-22,New_York,2014-09-22,21,71,11,51,0.0,0
1,2014-09-22,New_York,2014-09-23,22,71,15,59,0.0,0
2,2014-09-22,New_York,2014-09-24,23,73,16,60,0.13,3
3,2014-09-22,New_York,2014-09-25,19,67,14,58,0.45,11
4,2014-09-22,New_York,2014-09-26,26,78,15,59,0.0,0
5,2014-09-22,New_York,2014-09-27,27,81,16,60,0.0,0
6,2014-09-22,New_York,2014-09-28,28,82,16,61,0.0,0
7,2014-09-22,New_York,2014-09-29,27,80,16,61,0.0,0
8,2014-09-22,New_York,2014-09-30,21,70,16,61,0.16,4
9,2014-09-22,New_York,2014-10-01,22,72,17,62,0.08,2
10,2014-09-22,Washington,2014-09-22,26,79,11,51,0.0,0
11,2014-09-22,Washington,2014-09-23,23,73,13,56,0.0,0
12,2014-09-22,Washington,2014-09-24,24,75,16,61,0.86,22
13,2014-09-22,Washington,2014-09-25,21,70,15,59,0.32,8
14,2014-09-22,Washington,2014-09-26,27,80,14,57,0.0,0
15,2014-09-22,Washington,2014-09-27,27,80,14,58,0.03,1
16,2014-09-22,Washington,2014-09-28,28,83,16,60,0.0,0
17,2014-09-22,Washington,2014-09-29,29,84,17,62,0.0,0
18,2014-09-22,Washington,2014-09-30,24,75,18,64,0.1,3
19,2014-09-22,Washington,2014-10-01,24,75,18,64,0.0,0
20,2014-09-22,Liverpool,2014-09-23,19,66,12,54,0.16,4
21,2014-09-22,Liverpool,2014-09-24,16,61,12,53,0.05,1
22,2014-09-22,Liverpool,2014-09-25,19,67,16,60,0.0,0
23,2014-09-22,Liverpool,2014-09-26,19,66,9,49,0.0,0
24,2014-09-22,Liverpool,2014-09-27,19,67,12,54,0.0,0
25,2014-09-22,Liverpool,2014-09-28,21,70,11,52,0.0,0
26,2014-09-22,Liverpool,2014-09-29,19,66,11,51,0.0,0
27,2014-09-22,Liverpool,2014-09-30,20,68,10,50,0.0,0
28,2014-09-22,Liverpool,2014-10-01,19,67,11,51,0.0,0
29,2014-09-22,Liverpool,2014-10-02,19,66,11,51,0.0,0
30,2014-09-22,Alpharetta,2014-09-22,27,81,14,57,0.0,0
31,2014-09-22,Alpharetta,2014-09-23,26,78,13,56,0.0,0
32,2014-09-22,Alpharetta,2014-09-24,26,78,14,58,0.0,0
33,2014-09-22,Alpharetta,2014-09-25,27,80,17,62,0.0,0
34,2014-09-22,Alpharetta,2014-09-26,27,81,16,61,0.0,0
35,2014-09-22,Alpharetta,2014-09-27,27,81,17,63,0.0,0
36,2014-09-22,Alpharetta,2014-09-28,27,80,18,64,0.08,2
37,2014-09-22,Alpharetta,2014-09-29,24,75,18,64,0.45,11
38,2014-09-22,Alpharetta,2014-09-30,25,77,17,62,0.16,4
39,2014-09-22,Alpharetta,2014-10-01,27,81,18,64,0.0,0
40,2014-09-22,Toms_River,2014-09-22,22,72,9,48,0.0,0
41,2014-09-22,Toms_River,2014-09-23,21,69,13,55,0.0,0
42,2014-09-22,Toms_River,2014-09-24,21,70,17,62,0.32,8
43,2014-09-22,Toms_River,2014-09-25,19,67,16,60,1.14,29
44,2014-09-22,Toms_River,2014-09-26,23,74,15,59,0.0,0
45,2014-09-22,Toms_River,2014-09-27,25,77,13,55,0.0,0
46,2014-09-22,Toms_River,2014-09-28,26,79,16,60,0.0,0
47,2014-09-22,Toms_River,2014-09-29,24,76,17,63,0.0,0
48,2014-09-22,Toms_River,2014-09-30,21,69,17,63,0.22,6
49,2014-09-22,Toms_River,2014-10-01,22,72,17,63,0.08,2
50,2014-09-22,Sydney,2014-09-23,20,68,12,53,0.0,0
51,2014-09-22,Sydney,2014-09-24,24,75,14,58,0.0,0
52,2014-09-22,Sydney,2014-09-25,21,69,14,57,0.69,18
53,2014-09-22,Sydney,2014-09-26,18,64,13,55,0.0,0
54,2014-09-22,Sydney,2014-09-27,20,68,12,53,0.0,0
55,2014-09-22,Sydney,2014-09-28,22,72,13,55,0.0,0
56,2014-09-22,Sydney,2014-09-29,28,82,14,58,0.0,0
57,2014-09-22,Sydney,2014-09-30,24,76,14,57,0.02,1
58,2014-09-22,Sydney,2014-10-01,19,67,13,56,0.04,1
59,2014-09-22,Sydney,2014-10-02,19,66,13,56,0.0,0

